,Date,PRICECATEGORY,Max of TOTALDEMAND,Time,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
0,2021-01-01,0,5019.64,17:30:00,15.6,29.9,0.0,2.8,9.3,NNE,31.0,13:14,19.2,77.0,6,N,2.0,1018.8,28.1,43,5.0,E,13,1015.3
1,2021-01-02,0,4964.35,17:00:00,18.4,29.0,0.0,9.4,1.3,NNW,30.0,8:22,23.3,52.0,7,NNW,17.0,1013.3,28.7,38,7.0,SW,4,1008.5
2,2021-01-03,0,4503.31,18:30:00,17.0,26.2,12.6,4.8,7.1,WSW,33.0,17:55,18.3,100.0,8,WSW,4.0,1007.7,23.5,59,4.0,SSW,2,1005.2
3,2021-01-04,0,4764.18,18:30:00,16.0,18.6,2.6,3.8,0.0,SSE,41.0,16:03,16.2,98.0,8,SSE,11.0,1010.0,18.2,82,8.0,SSW,17,1011.0
4,2021-01-05,0,4800.64,17:00:00,15.9,19.1,11.2,1.0,0.0,SSE,35.0,11:02,17.2,96.0,8,SSE,13.0,1012.5,18.2,82,8.0,SSE,19,1013.3
5,2021-01-06,0,4691.13,19:30:00,13.7,19.2,1.2,1.0,3.2,S,35.0,14:56,15.2,72.0,7,S,11.0,1020.0,18.1,63,7.0,SSW,17,1020.0
6,2021-01-07,0,4994.78,19:00:00,14.7,25.7,0.0,3.6,12.1,SSE,44.0,13:21,18.6,70.0,4,SSE,13.0,1023.9,24.3,46,4.0,SSE,20,1022.0
7,2021-01-08,0,5365.19,18:30:00,12.7,24.3,0.0,9.8,13.1,SSW,31.0,15:04,18.6,59.0,1,NE,6.0,1024.8,23.1,53,1.0,SSW,11,1022.2
8,2021-01-09,1,5863.37,18:30:00,14.2,27.9,0.0,7.0,12.9,NNW,30.0,9:46,19.7,69.0,1,NNE,11.0,1022.0,24.4,59,2.0,SSW,11,1019.3
9,2021-01-10,1,6859.02,18:30:00,16.9,33.5,0.0,8.0,9.6,E,24.0,19:16,19.3,85.0,8,NNE,6.0,1020.4,26.7,60,1.0,SW,11,1015.9
10,2021-01-11,1,8182.55,17:30:00,19.2,36.7,0.0,10.8,9.8,N,52.0,14:55,29.4,32.0,2,NNE,15.0,1012.3,35.2,21,7.0,N,20,1008.5
11,2021-01-12,0,5349.3,18:30:00,18.3,21.6,0.0,13.6,7.7,SSW,41.0,15:01,18.7,69.0,8,S,13.0,1016.3,20.1,60,1.0,SSW,17,1015.8
12,2021-01-13,1,6522.49,17:00:00,14.5,27.0,0.0,6.2,7.5,W,41.0,21:58,17.9,66.0,3,ESE,4.0,1013.5,25.7,52,7.0,WSW,6,1008.4
13,2021-01-14,1,5257.95,19:00:00,15.0,22.2,0.0,7.0,8.0,W,31.0,23:23,16.6,77.0,7,SW,7.0,1013.9,20.6,46,6.0,SSW,9,1013.1
14,2021-01-15,0,4742.85,20:30:00,13.2,20.6,0.0,7.0,7.9,WSW,50.0,14:49,16.4,53.0,4,NW,9.0,1009.0,16.6,46,7.0,WNW,13,1009.0
15,2021-01-16,0,4529.66,20:00:00,11.0,20.1,2.6,6.8,3.7,,34.4,,15.7,66.0,7,W,13.0,1013.9,18.1,54,7.0,W,13,1014.1
16,2021-01-17,1,4473.05,20:30:00,12.9,20.2,0.0,5.6,10.7,SSW,30.0,12:19,15.0,62.0,7,WSW,13.0,1018.9,19.2,49,6.0,S,13,1018.2
17,2021-01-18,0,4895.82,19:00:00,14.1,22.6,0.0,5.6,9.0,SSW,39.0,15:53,15.9,76.0,7,WSW,9.0,1018.1,20.6,58,2.0,S,19,1016.2
18,2021-01-19,0,4816.53,20:30:00,14.2,18.9,0.0,8.0,9.9,S,41.0,13:57,15.8,52.0,7,SSE,15.0,1023.5,17.7,50,1.0,S,19,1023.7
19,2021-01-20,1,5291.48,19:30:00,10.3,22.6,0.0,8.0,13.0,SSW,33.0,15:22,16.4,53.0,1,SE,11.0,1024.2,20.9,51,0.0,SSW,15,1020.2
20,2021-01-21,1,7046.57,18:30:00,12.7,31.6,0.0,7.6,12.5,SSW,22.0,11:59,16.8,73.0,7,N,11.0,1016.3,29.6,37,5.0,SW,7,1010.3
21,2021-01-22,1,5954.97,18:00:00,15.8,25.0,0.0,9.0,11.4,S,35.0,16:47,20.2,52.0,7,S,11.0,1009.7,23.3,59,3.0,SSW,13,1009.9
22,2021-01-23,1,6220.45,18:30:00,14.7,26.7,0.0,7.4,11.6,S,30.0,14:42,18.3,72.0,2, ,0.0,1013.1,22.7,63,0.0,SW,13,1010.9
23,2021-01-24,1,8050.72,18:30:00,16.1,37.8,0.0,8.8,8.1,SSW,17.0,14:58,22.5,67.0,1,ENE,6.0,1010.9,33.6,37,7.0,SSW,6,1007.0
24,2021-01-25,2,8196.83,12:30:00,22.2,39.2,0.0,13.8,3.5,W,54.0,15:37,30.9,25.0,5,N,13.0,1001.3,26.6,47,7.0,WSW,11,999.6
25,2021-01-26,0,4804.58,00:30:00,17.7,19.3,10.6,8.6,0.1,SSW,35.0,13:20,17.7,100.0,8,SSW,13.0,1002.3,18.3,71,8.0,SSW,17,1006.2
26,2021-01-27,0,5221.53,19:00:00,14.3,25.8,0.4,3.6,11.1,ESE,43.0,19:43,15.5,52.0,7,SSE,15.0,1016.5,23.4,37,1.0,SSE,19,1014.8
27,2021-01-28,0,5398.66,17:00:00,15.4,25.5,0.0,8.0,1.1,SE,20.0,23:06,20.5,58.0,7,SSE,4.0,1017.3,24.8,53,8.0,SE,7,1015.1
28,2021-01-29,0,5737.11,10:30:00,18.9,21.6,3.6,4.8,0.1,N,31.0,13:00,18.9,92.0,8,NNE,6.0,1011.9,20.1,92,8.0,N,13,1009.1
