Date,Max of TOTALDEMAND,Max of PRICECATEGORY,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/01/2021,5019.64,0,15.6,29.9,0,2.8,9.3,NNE,31,0.551388889,19.2,77,6,N,2,1018.8,28.1,43,5,E,13,1015.3
2/01/2021,4964.35,0,18.4,29,0,9.4,1.3,NNW,30,0.348611111,23.3,52,7,NNW,17,1013.3,28.7,38,7,SW,4,1008.5
3/01/2021,4503.31,0,17,26.2,12.6,4.8,7.1,WSW,33,0.746527778,18.3,100,8,WSW,4,1007.7,23.5,59,4,SSW,2,1005.2
4/01/2021,4764.18,0,16,18.6,2.6,3.8,0,SSE,41,0.66875,16.2,98,8,SSE,11,1010,18.2,82,8,SSW,17,1011
5/01/2021,4800.64,0,15.9,19.1,11.2,1,0,SSE,35,0.459722222,17.2,96,8,SSE,13,1012.5,18.2,82,8,SSE,19,1013.3
6/01/2021,4691.13,0,13.7,19.2,1.2,1,3.2,S,35,0.622222222,15.2,72,7,S,11,1020,18.1,63,7,SSW,17,1020
7/01/2021,4994.78,0,14.7,25.7,0,3.6,12.1,SSE,44,0.55625,18.6,70,4,SSE,13,1023.9,24.3,46,4,SSE,20,1022
8/01/2021,5365.19,1,12.7,24.3,0,9.8,13.1,SSW,31,0.627777778,18.6,59,1,NE,6,1024.8,23.1,53,1,SSW,11,1022.2
9/01/2021,5863.37,1,14.2,27.9,0,7,12.9,NNW,30,0.406944444,19.7,69,1,NNE,11,1022,24.4,59,2,SSW,11,1019.3
10/01/2021,6859.02,1,16.9,33.5,0,8,9.6,E,24,0.802777778,19.3,85,8,NNE,6,1020.4,26.7,60,1,SW,11,1015.9
11/01/2021,8182.55,1,19.2,36.7,0,10.8,9.8,N,52,0.621527778,29.4,32,2,NNE,15,1012.3,35.2,21,7,N,20,1008.5
12/01/2021,5349.3,1,18.3,21.6,0,13.6,7.7,SSW,41,0.625694444,18.7,69,8,S,13,1016.3,20.1,60,1,SSW,17,1015.8
13/01/2021,6522.49,2,14.5,27,0,6.2,7.5,W,41,0.915277778,17.9,66,3,ESE,4,1013.5,25.7,52,7,WSW,6,1008.4
14/01/2021,5257.95,1,15,22.2,0,7,8,W,31,0.974305556,16.6,77,7,SW,7,1013.9,20.6,46,6,SSW,9,1013.1
15/01/2021,4742.85,1,13.2,20.6,0,7,7.9,WSW,50,0.617361111,16.4,53,4,NW,9,1009,16.6,46,7,WNW,13,1009
17/01/2021,4473.05,1,12.9,20.2,0,5.6,10.7,SSW,30,0.513194444,15,62,7,WSW,13,1018.9,19.2,49,6,S,13,1018.2
18/01/2021,4895.82,0,14.1,22.6,0,5.6,9,SSW,39,0.661805556,15.9,76,7,WSW,9,1018.1,20.6,58,2,S,19,1016.2
19/01/2021,4816.53,0,14.2,18.9,0,8,9.9,S,41,0.58125,15.8,52,7,SSE,15,1023.5,17.7,50,1,S,19,1023.7
20/01/2021,5291.48,1,10.3,22.6,0,8,13,SSW,33,0.640277778,16.4,53,1,SE,11,1024.2,20.9,51,0,SSW,15,1020.2
21/01/2021,7046.57,1,12.7,31.6,0,7.6,12.5,SSW,22,0.499305556,16.8,73,7,N,11,1016.3,29.6,37,5,SW,7,1010.3
22/01/2021,5954.97,1,15.8,25,0,9,11.4,S,35,0.699305556,20.2,52,7,S,11,1009.7,23.3,59,3,SSW,13,1009.9
23/01/2021,6220.45,1,14.7,26.7,0,7.4,11.6,S,30,0.6125,18.3,72,2, ,0,1013.1,22.7,63,0,SW,13,1010.9
24/01/2021,8050.72,2,16.1,37.8,0,8.8,8.1,SSW,17,0.623611111,22.5,67,1,ENE,6,1010.9,33.6,37,7,SSW,6,1007
25/01/2021,8196.83,2,22.2,39.2,0,13.8,3.5,W,54,0.650694444,30.9,25,5,N,13,1001.3,26.6,47,7,WSW,11,999.6
26/01/2021,5035.74,1,17.7,19.3,10.6,8.6,0.1,SSW,35,0.555555556,17.7,100,8,SSW,13,1002.3,18.3,71,8,SSW,17,1006.2
27/01/2021,5221.53,0,14.3,25.8,0.4,3.6,11.1,ESE,43,0.821527778,15.5,52,7,SSE,15,1016.5,23.4,37,1,SSE,19,1014.8
28/01/2021,5398.66,0,15.4,25.5,0,8,1.1,SE,20,0.9625,20.5,58,7,SSE,4,1017.3,24.8,53,8,SE,7,1015.1
29/01/2021,5737.11,1,18.9,21.6,3.6,4.8,0.1,N,31,0.541666667,18.9,92,8,NNE,6,1011.9,20.1,92,8,N,13,1009.1
30/01/2021,4742.37,0,16.7,21.9,43.2,3.6,4.5,S,33,0.690277778,17.9,74,5,WSW,7,1012.4,19.7,71,6,S,20,1013.3
31/01/2021,4709.83,0,16.4,21.8,0,4,10.3,S,39,0.69375,17.8,55,7,SE,13,1018.6,19.9,55,1,SSW,19,1017.2
1/02/2021,5228.29,1,13.4,20.3,0,7.4,1.6,S,33,0.880555556,16.9,76,7,N,7,1012.8,19.4,69,7,S,13,1011.9
2/02/2021,5133.34,0,14.5,19.3,0,3,3.4,SSW,41,0.619444444,16.7,56,7,S,15,1016.5,18.2,47,7,SSW,20,1017.3
3/02/2021,5344.15,0,13.7,25.9,0,5.4,13.1,SE,33,0.706944444,16.5,66,5,SSE,11,1016.5,24.1,44,2,SE,7,1011.1
4/02/2021,6015.71,0,13.5,30.6,0,6.6,4.1,NNW,43,0.540277778,17.3,72,7,NE,7,1005.5,29.2,32,7,N,28,1002.7
5/02/2021,5852.98,0,17.3,29.8,0.4,7.8,8.9,NNW,52,0.435416667,24.1,62,7,NNE,19,1000.5,25.9,63,7,NNE,24,997.5
6/02/2021,4636.36,0,16.9,25.4,1.6,9,9.5,NW,39,0.488888889,18.6,59,7,N,17,998.5,23.7,45,7,NW,11,999.5
7/02/2021,4573.98,0,14.7,19.2,1.8,5.6,2,SSW,37,0.474305556,15.5,89,7,W,7,1011.5,17.4,69,7,S,17,1013.7
